employee_number|employee_grade|local_expat|assignment_status|employee_depute_branch|region|geography|group_customer|project_iou|project_type|department|employee_parent_iou|mapped_parent_ou_excluding_bps|mapped_sub_iou_parent_ou_excluding_bps|mapped_project_ou|mapped_sub_project_ou|tcs_exp|total_rel_exp|won_swon|delivery_unit|bg|emp_role|mlt_pool_category|status|completion_certification_id|completion_certification_name|completion_date
927772|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - THE NORTHERN TRUST COMPANY|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - II|1+ yrs in TCS|11.46|WON|BFSI-CBO-Parent|BFSI|Tower Lead|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|06/11/2019
875264|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - THE NORTHERN TRUST COMPANY|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - II|1+ yrs in TCS|11.9|WON|BFSI-CBO-Parent|BFSI|System Administrator|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|05/11/2019
538027|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - THE NORTHERN TRUST COMPANY|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - II|1+ yrs in TCS|14.63|WON|BFSI-CBO-Parent|BFSI|Portfolio Manager|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|03/09/2022
248541|C3B|Local|Active Assignment|TCS - Hyderabad|Hyderabad|INDIA|Group Client - WESTERN UNION FINANCIAL SERVICES INC|IS-BFSI-US West-Parent|TIME AND MATERIAL|CC|IS-BFSI-US West-Parent|IS-BFSI-US West-Parent|IS-BFSI-US West 1.5-Group5|IS-BFSI-US West-Parent|IS-BFSI-US West 1.5-Group5|1+ yrs in TCS|14.42|WON|IS-BFSI-US West-Parent|BFSI|Technical Lead|Generic|FY22 Completion|1824|SAFe Agilist (SA) Certification|27/04/2022
377744|C3A|Expat|Active Assignment|TCS - Finland|Finland|EUROPE|Group Client - OP Financial Group|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.4-Group4|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.4-Group4|1+ yrs in TCS|12.09|WON|IS-BFSI-Europe NW-Parent|BFSI|Developer|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|24/04/2021
156743|C3B|Local|Active Assignment|TCS - Kochi|Kochi|INDIA|Group Client - Acxsys Corporation|IS-BFSI-Canada-Parent|TIME AND MATERIAL|CC|IS-BFSI-Canada-Parent|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.3-Group3|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.3-Group3|1+ yrs in TCS|17.49|WON|IS-BFSI-Canada-Parent|BFSI|Technical Lead|Generic|Completed|15288|Microsoft Azure Developer Associate Certification|01/09/2022
210229|C4|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - XL Global|IS-BFSI-UK 2-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.2-Group2|1+ yrs in TCS|17.49|WON|BFSI-Enterprise Application Services - Parent|BFSI|Project Manager|Generic|FY22 Completion|1824|SAFe Agilist (SA) Certification|26/03/2021
210250|C4|Local|Active Assignment|TCS - Kochi|Kochi|INDIA|Group Client - American Express Company|IS-BFSI-US West-Parent|TURNKEY|CC|IS-BFSI-US West-Parent|IS-BFSI-US West-Parent|IS-BFSI-US West 1.2-Group2|IS-BFSI-US West-Parent|IS-BFSI-US West 1.2-Group2|1+ yrs in TCS|18.16|WON|IS-BFSI-US West-Parent|BFSI|Delivery Manager|Generic|Completed|#N/A|#N/A|#N/A
157229|C3B|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - Aviva|IS-BFSI-UK 2-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.1-Group1|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.1-Group1|1+ yrs in TCS|17.49|WON|IS-BFSI-UK 2-Parent|BFSI|Domain Consultant|Generic|FY22 Completion|1290|AWS Certified Solutions Architect - Associate Level Certification|28/02/2019
1605528|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - Lloyds Banking Group plc|IS-BFSI-UK 1-Parent|JOB|CC|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|10.62|WON|IS-BFSI-UK 1-Parent|BFSI|Technical Lead|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|30/09/2021
