employee_number|employee_grade|local_expat|assignment_status|employee_depute_branch|region|geography|group_customer|project_iou|project_type|department|employee_parent_iou|mapped_parent_ou_excluding_bps|mapped_sub_iou_parent_ou_excluding_bps|mapped_project_ou|mapped_sub_project_ou|tcs_exp|total_rel_exp|won_swon|delivery_unit|bg|emp_role|mlt_pool_category|status|completion_certification_id|completion_certification_name|completion_date
532799|C3B|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|18.3|WON|IS-BFSI-Europe Central-Parent|BFSI|Lead|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|17/04/2021
496468|C3A|Expat|Long Term US|TCS - Sunnyvale|United States|NORTH AMERICA|Group Client - Zurich Insurance Group Ltd|IS-BFSI-US West-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US West-Parent|IS-BFSI-US West 1.6-Group6|1+ yrs in TCS|11.3|WON|BFSI-CBO-Parent|BFSI|Technical Architect|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|06/10/2022
1210554|C3B|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|12.99|WON|IS-BFSI-Europe Central-Parent|BFSI|Scrum Master|Generic|Completed|#N/A|#N/A|#N/A
1008863|C3A|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|10.87|WON|IS-BFSI-Europe Central-Parent|BFSI|Technical Lead|Generic|Completed|16232|Domain : The Influencer Program_E2_Curriculum|03/09/2022
860364|C3B|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|BFSI-Analytics & Insights-Parent|BFSI-Analytics & Insights-Parent|BFSI-A&I-Business Analytics 1.0|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|13.55|WON|BFSI-Analytics & Insights-Parent|BFSI|Developer|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|13/05/2021
1260673|C3A|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|11.15|WON|IS-BFSI-Europe Central-Parent|BFSI|Developer|Generic|Completed|16232|Domain : The Influencer Program_E2_Curriculum|30/08/2022
185815|C4|Local|Active Assignment|TCS - Philadelphia PA|United States|NORTH AMERICA|Group Client - JP Morgan Chase|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Large Bank/Mortgage|IS-BFSI-US East-Parent|BFSI US East - Large Bank/Mortgage|1+ yrs in TCS|18.79|WON|IS-BFSI-US East-Parent|BFSI|Business Relationship Manager|Leadership and Sales|Completed|13873|LDP : Ambassador Corps - Global SalesÂ  training program|11/06/2022
181012|C4|Local|Active Assignment|TCS - Mumbai|Mumbai|INDIA||CL-BFSI|OPEX|CC|CL-BFSI|CL-BFSI|IS-BFSI-1.0|CL-BFSI|IS-BFSI-1.0|1+ yrs in TCS|16.65|SWON|CL-BFSI|BFSI|Solution Architect|Generic|Completed|#N/A|#N/A|#N/A
1723001|C3B|Local|Active Assignment|TCS - Kolkata|Kolkata|INDIA|Group Client - Pacific Mutual Holding Company|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|14.21|WON|BFSI-Enterprise Application Services - Parent|BFSI|Technical Lead|Generic|Completed|13655|MuleSoft Certified Developer - Level 1 (Mule 4) Certification|21/06/2022
183347|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - ABN Amro|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.1-Group1|1+ yrs in TCS|18.43|WON|BFSI-Enterprise Application Services - Parent|BFSI|Project Manager|Generic|FY22 Completion|18567|Oracle Cloud Infrastructure Foundations 2021 Associate Certification|02/02/2022
162547|C3B|Expat|Long Term US|TCS - NEW YORK 1 NY|United States|NORTH AMERICA|Group Client - New York Life Insurance Company|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|19.54|WON|IS-BFSI-US East-Parent|BFSI|Program Manager|Generic|FY22 Completion|4164|Associate, Customer Service - ACS: Life Insurance Certification|11/03/2017
473255|C3B|Expat|Active Assignment|TCS - Edinburgh|United Kingdom|UK|Group Client - Lloyds Banking Group plc|IS-BFSI-UK 1-Parent|JOB|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|11.62|WON|BFSI-Enterprise Application Services - Parent|BFSI|Technical Lead|Generic|FY22 Completion|10930|Pega Certified Senior System Architect (CSSA)|06/12/2020
335305|C3B|Local|Active Assignment|TCS - Kolkata|Kolkata|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|12.81|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Project Manager|Generic|Completed|#N/A|#N/A|#N/A
778077|C3B|Expat|Active Assignment|TMCV - Mexico City|Mexico|LATAM|Group Client - New York Life Insurance Company|IS-BFSI-US East-Parent|JOB|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|14.43|WON|BFSI-CBO-Parent|BFSI|Service Delivery Manager|Generic|Completed|13905|ITIL Foundation Certificate in IT Service Management (Version 4) Certification|26/07/2020
156160|C3B|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - COMMONWEALTH BANK OF AUSTRALIA|IS-BFS7-Parent|TURNKEY|CC|IS-BFS7-Parent|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|1+ yrs in TCS|17.54|WON|IS-BFS7-Parent|BFSI|Agile Coach|Generic|Completed|3854|Professional Scrum Master II Certification|24/06/2022
530114|C3A|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - PNC|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - PA & MI|IS-BFSI-US East-Parent|BFSI US East - PA & MI|1+ yrs in TCS|11.05|WON|IS-BFSI-US East-Parent|BFSI|Lead|Generic|Completed|13557|Tableau Desktop Specialist Certification|15/04/2022
919546|C2|Expat|Active Assignment|TCCI - Canada|Canada|NORTH AMERICA|Group Client - American International Group Inc.|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|11.2|WON|IS-BFSI-US East-Parent|BFSI|Technical Lead|Generic|FY22 Completion|14124|Microsoft Azure Fundamentals (AZ-900) Certification|03/06/2021
1249865|C3A|Expat|Active Assignment|TCS - Edinburgh|United Kingdom|UK|Group Client - Royal Bank Of Scotland|IS-BFSI-UK 1-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.2-Group2|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.2-Group2|1+ yrs in TCS|12.73|WON|IS-BFSI-UK 1-Parent|BFSI|Technical Lead|Generic|FY22 Completion|1135|Oracle Certified Professional, Java SE 5 Programmer Certification|09/10/2010
538592|C3B|Local|Active Assignment|TCS - Kolkata|Kolkata|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|1+ yrs in TCS|16.22|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Project Manager|Generic|Completed|3854|Professional Scrum Master II Certification|28/07/2022
258340|C3B|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|1+ yrs in TCS|14.09|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Business Analyst|Generic|Completed|3854|Professional Scrum Master II Certification|27/09/2022
327569|C3B|Local|Active Assignment|TCS - Kolkata|Kolkata|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|12.98|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Program Manager|Generic|Completed|16232|Domain : The Influencer Program_E2_Curriculum|30/08/2022
1851613|C3B|Local|Active Assignment|TAPL - Singapore|Singapore|APAC|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|1+ yrs in TCS|15.63|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Technical Lead|Generic|Completed|8541|AWS Certified Solutions Architect - Professional|04/10/2019
1373409|C2|Local|Active Assignment|TCS - Mumbai|Mumbai|INDIA|Group Client - Siemens AG|IS-BFSI-Europe Central-Parent|TURNKEY|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.4-Group4|1+ yrs in TCS|11.67|WON|BFSI-CBO-Parent|BFSI|Technical Lead|Generic|Completed|#N/A|#N/A|#N/A
568894|C3B|Expat|Long Term Australia|TCS - Australia|Australia|APAC|Group Client - COMMONWEALTH BANK OF AUSTRALIA|IS-BFS7-Parent|TIME AND MATERIAL|CC|IS-BFS7-Parent|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|1+ yrs in TCS|15.75|WON|IS-BFS7-Parent|BFSI|Technical Lead|Generic|Completed|#N/A|#N/A|#N/A
1459772|C3A|Local|Active Assignment|TMCV - Mexico City|Mexico|LATAM|Group Client - New York Life Insurance Company|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|11.7|WON|IS-BFSI-US East-Parent|BFSI|Developer|Generic|Completed|14187|Microsoft Certified Azure Data Engineer Associate Certification|10/09/2022
481232|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - American Express Company|IS-BFSI-US West-Parent|TURNKEY|CC|IS-BFSI-US West-Parent|IS-BFSI-US West-Parent|IS-BFSI-US West 1.2-Group2|IS-BFSI-US West-Parent|IS-BFSI-US West 1.2-Group2|1+ yrs in TCS|15.91|WON|IS-BFSI-US West-Parent|BFSI|Technical Lead|Generic|FY22 Completion|1290|AWS Certified Solutions Architect - Associate Level Certification|26/01/2019
163853|C3B|Expat|Active Assignment|TCS - PhoenixAZ|United States|NORTH AMERICA|Group Client - American Express Company|IS-BFSI-US West-Parent|TIME AND MATERIAL|CC|IS-BFSI-US West-Parent|IS-BFSI-US West-Parent|IS-BFSI-US West 1.2-Group2|IS-BFSI-US West-Parent|IS-BFSI-US West 1.2-Group2|1+ yrs in TCS|17.13|WON|IS-BFSI-US West-Parent|BFSI|Project Manager|Generic|Completed|1824|SAFe Agilist (SA) Certification|18/09/2022
383730|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|1+ yrs in TCS|15.02|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Consultant|Generic|FY22 Completion|8810|1Z0-809:Oracle Certified Professional, Java SE 8 Programmer|15/09/2017
465661|C3A|Expat|Active Assignment|TBEL - Brussels|Belgium|EUROPE|Group Client - ING|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.3-Group3|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.3-Group3|1+ yrs in TCS|11.7|WON|IS-BFSI-Europe NW-Parent|BFSI|Engineer|Generic|FY22 Completion|14124|Microsoft Azure Fundamentals (AZ-900) Certification|03/06/2021
1614432|C3A|Local|Active Assignment|TCS - Hyderabad|Hyderabad|INDIA|Group Client - Lloyds Banking Group plc|IS-BFSI-UK 1-Parent|JOB|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|12.19|WON|BFSI-Enterprise Application Services - Parent|BFSI|Technical Lead|Generic|FY22 Completion|10930|Pega Certified Senior System Architect (CSSA)|30/06/2021
511955|C3B|Local|Active Assignment|TCS - Kochi|Kochi|INDIA|Group Client - Legal & General|IS-BFSI-UK 2-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.2-Group2|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.2-Group2|1+ yrs in TCS|19.16|WON|IS-BFSI-UK 2-Parent|BFSI|Developer|Generic|Completed|#N/A|#N/A|#N/A
1214887|C3A|Local|Active Assignment|TCCI - Canada|Canada|NORTH AMERICA|Group Client - Power Financial Corporation|IS-BFSI-Canada-Parent|TIME AND MATERIAL|CC|IS-BFSI-Canada-Parent|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.1-Group1|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.1-Group1|1+ yrs in TCS|14.94|WON|IS-BFSI-Canada-Parent|BFSI|Support Executive|Generic|Completed|14174|Microsoft Certified Azure Administrator Associate Certification|14/10/2022
853020|C3A|Expat|Active Assignment|TAPL - Singapore|Singapore|APAC|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|14.55|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Technical Lead|Generic|Completed|#N/A|#N/A|#N/A
895952|C3A|Expat|Long Term US|TCS - Cincinnati OH|United States|NORTH AMERICA|Group Client - KeyCorp|IS-BFSI-US East-Parent|TURNKEY|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Mid-West|1+ yrs in TCS|12.59|WON|BFSI-Enterprise Application Services - Parent|BFSI|Developer|Generic|FY22 Completion|2538|Salesforce.com Certified Advanced Administrator Certification|01/01/2020
367163|C3A|Expat|Long Term Australia|TCS - Australia|Australia|APAC|Group Client - COMMONWEALTH BANK OF AUSTRALIA|IS-BFS7-Parent|TIME AND MATERIAL|CC|IS-BFS7-Parent|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|1+ yrs in TCS|12.23|WON|IS-BFS7-Parent|BFSI|Developer|Generic|Completed|15057|Vantage Associate Certification|25/06/2020
329570|C3A|Expat|Long Term US|TCS - Dallas TX|United States|NORTH AMERICA|Group Client - New York Life Insurance Company|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|16.17|WON|IS-BFSI-US East-Parent|BFSI|Developer|Generic|Completed|20636|Adobe Certified Expert - Adobe Experience Manager DevOps Engineer Certification|31/07/2022
889854|C3A|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|12.25|WON|IS-BFSI-Europe Central-Parent|BFSI|Developer|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|01/12/2021
541547|C3A|Expat|Active Assignment|RM Norway|Norway|EUROPE|Group Client - DNB BANK ASA|IS-BFSI-Europe NW-Parent|TURNKEY|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.5-Group5|1+ yrs in TCS|10.78|WON|BFSI-CBO-Parent|BFSI|Technical Lead|Generic|FY22 Completion|15187|Microsoft 365 Security Administrator Associate Certification|07/04/2022
516412|C3B|Expat|Long Term US|TCS - Raleigh NC|United States|NORTH AMERICA|Group Client - Ally Financial Inc.|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.8-Group8|1+ yrs in TCS|15.2|WON|BFSI-CBO-Parent|BFSI|Technical Architect|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|12/09/2019
397504|C3B|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA||||CC|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.2-Group2|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.2-Group2|1+ yrs in TCS|16.63|Unallocated|IS-BFSI-UK 2-Parent|BFSI|Project Manager|Generic|Completed|#N/A|#N/A|#N/A
205769|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - State Farm|IS-BFSI-US West-Parent|TIME AND MATERIAL|CC|IS-BFSI-US West-Parent|IS-BFSI-US West-Parent|IS-BFSI-US West 1.4-Group4|IS-BFSI-US West-Parent|IS-BFSI-US West 1.4-Group4|1+ yrs in TCS|15.71|WON|IS-BFSI-US West-Parent|BFSI|Lead|Generic|FY22 Completion|1824|SAFe Agilist (SA) Certification|19/03/2021
374194|C3B|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|12.13|WON|IS-BFSI-Europe Central-Parent|BFSI|Technical Architect|Generic|Completed|#N/A|#N/A|#N/A
543527|C3B|Expat|Active Assignment|RM Norway|Norway|EUROPE|Group Client - DNB BANK ASA|IS-BFSI-Europe NW-Parent|TURNKEY|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.5-Group5|1+ yrs in TCS|10.78|WON|BFSI-CBO-Parent|BFSI|Tower Lead|Generic|FY22 Completion|2064|Microsoft Certified Solutions Associate (MCSA): Windows Server 2012 Certification|02/11/2013
230662|C3B|Expat|Long Term US|TCS - Iselin NJ(South)|United States|NORTH AMERICA|Group Client - Vanguard|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - II|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - II|1+ yrs in TCS|16.5|WON|IS-BFSI-US East-Parent|BFSI|Technical Architect|Generic|FY22 Completion|1290|AWS Certified Solutions Architect - Associate Level Certification|21/02/2019
244454|C3B|Local|Active Assignment|TCS - Hyderabad|Hyderabad|INDIA|Group Client - UNITED SERVICES AUTOMOBILE ASSOCIAT|IS-BFSI-US West-Parent|TIME AND MATERIAL|CC|IS-BFSI-US West-Parent|IS-BFSI-US West-Parent|IS-BFSI-US West 1.3-Group3|IS-BFSI-US West-Parent|IS-BFSI-US West 1.3-Group3|1+ yrs in TCS|14.55|WON|IS-BFSI-US West-Parent|BFSI|Technical Lead|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|13/11/2019
349798|C3A|Local|Active Assignment|TCS - Pune|Pune|INDIA|Group Client - Morgan Stanley|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - I|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - I|1+ yrs in TCS|12.59|WON|IS-BFSI-US East-Parent|BFSI|Technical Architect|Generic|Completed|#N/A|#N/A|#N/A
479634|C3B|Expat|Active Assignment|TCS - Ireland|Ireland|UK|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|BFSI-Analytics & Insights-Parent|BFSI-Analytics & Insights-Parent|BFSI-A&I-Business Analytics 1.0|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|1+ yrs in TCS|14.21|WON|BFSI-Analytics & Insights-Parent|BFSI|Technical Lead|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|05/03/2020
190117|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - Morgan Stanley|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - I|IS-BFSI-US East-Parent|BFSI US East - Capital Markets - I|1+ yrs in TCS|16.22|WON|IS-BFSI-US East-Parent|BFSI|Delivery Manager|Generic|Completed|14124|Microsoft Azure Fundamentals (AZ-900) Certification|28/07/2022
159505|C3B|Local|Active Assignment|TCS - Mumbai|Mumbai|INDIA|Group Client - ABN Amro|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.1-Group1|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.1-Group1|1+ yrs in TCS|17.37|WON|IS-BFSI-Europe NW-Parent|BFSI|Scrum Master|Generic|FY22 Completion|3854|Professional Scrum Master II Certification|29/06/2021
1929215|C3A|Local|Active Assignment|TCCI - Canada|Canada|NORTH AMERICA|Group Client - Bank of Montreal|IS-BFSI-Canada-Parent|TIME AND MATERIAL|CC|IS-BFSI-Canada-Parent|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|1+ yrs in TCS|13.75|WON|IS-BFSI-Canada-Parent|BFSI|Not Available|Generic|Completed|#N/A|#N/A|#N/A
377121|C3B|Expat|Active Assignment|TBEL - Brussels|Belgium|EUROPE|Group Client - ING|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.3-Group3|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.3-Group3|1+ yrs in TCS|16.27|WON|IS-BFSI-Europe NW-Parent|BFSI|Technical Architect|Generic|Completed|14124|Microsoft Azure Fundamentals (AZ-900) Certification|31/07/2021
546200|C2|Local|Active Assignment|TCS - Pune|Pune|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.1-Group1|1+ yrs in TCS|10.57|WON|BFSI-Enterprise Application Services - Parent|BFSI|Developer|Generic|Completed|9458|Oracle Data Integrator 12c Implementation Specialist Certification|16/06/2021
252138|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|BFSI-BPS-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|1+ yrs in TCS|16.31|WON|BFSI-BPS-Parent|BFSI|Technical Lead|Generic|Completed|#N/A|#N/A|#N/A
141614|C4|Expat|Active Assignment|TAPL - Singapore|Singapore|APAC|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|18.64|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Business Relationship Manager|Leadership and Sales|Completed|13873|LDP : Ambassador Corps - Global SalesÂ  training program|17/11/2021
